ID_hecho,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,hrsUntilDisease
2017-0016,CONDUCTOR,MOTO,MASCULINO,27.0,2017-02-04 23:59:59.000000000,42.79388888888889
2017-0017,CONDUCTOR,MOTO,MASCULINO,32.0,2017-02-06 23:59:59.000000000,15.999722222222223
2017-0018,CONDUCTOR,MOTO,MASCULINO,30.0,2017-02-09 23:59:59.000000000,16.99972222222222
2017-0021,CONDUCTOR,MOTO,MASCULINO,43.0,2017-02-18 23:59:59.000000000,18.49972222222222
2017-0024,PEATON,PEATON,MASCULINO,39.0,2017-02-23 23:59:59.000000000,3.1663888888888887
2017-0025,CONDUCTOR,MOTO,MASCULINO,23.0,2017-02-24 23:59:59.000000000,6.916388888888889
2017-0026,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,23.0,2017-02-26 23:59:59.000000000,18.74972222222222
2017-0026,CONDUCTOR,AUTO,MASCULINO,19.0,2017-02-26 23:59:59.000000000,18.74972222222222
2017-0027,PEATON,PEATON,MASCULINO,34.0,2017-02-26 23:59:59.000000000,2.049722222222222
2017-0028,PEATON,PEATON,MASCULINO,87.0,2017-02-28 23:59:59.000000000,14.66638888888889
2017-0029,,,MASCULINO,34.0,2017-03-07 23:59:59.000000000,21.74972222222222
2017-0030,CONDUCTOR,AUTO,FEMENINO,27.0,2017-03-07 23:59:59.000000000,15.999722222222223
2017-0031,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,70.0,2017-03-11 23:59:59.000000000,22.49972222222222
2017-0032,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,40.0,2017-03-12 23:59:59.000000000,18.99972222222222
2017-0033,CONDUCTOR,AUTO,MASCULINO,28.0,2017-03-12 23:59:59.000000000,16.49972222222222
2017-0034,PEATON,PEATON,MASCULINO,43.0,2017-03-13 23:59:59.000000000,16.16638888888889
2017-0035,CONDUCTOR,AUTO,MASCULINO,28.0,2017-03-23 23:59:59.000000000,18.99972222222222
2017-0035,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,32.0,2017-03-23 23:59:59.000000000,18.99972222222222
2017-0035,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,30.0,2017-03-23 23:59:59.000000000,18.99972222222222
2017-0036,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,31.0,2017-03-29 23:59:59.000000000,5.999722222222222
2017-0036,CONDUCTOR,MOTO,MASCULINO,20.0,2017-03-29 23:59:59.000000000,5.999722222222222
2017-0037,CONDUCTOR,MOTO,MASCULINO,41.0,2017-03-31 23:59:59.000000000,20.99972222222222
2017-0038,CONDUCTOR,MOTO,FEMENINO,40.0,2017-04-01 23:59:59.000000000,4.999722222222222
2017-0040,CONDUCTOR,AUTO,MASCULINO,43.0,2017-04-03 23:59:59.000000000,14.333055555555555
2017-0041,CONDUCTOR,MOTO,MASCULINO,17.0,2017-05-02 22:47:17.600924499,695.5382224790275
2017-0042,CONDUCTOR,MOTO,MASCULINO,42.0,2017-04-10 23:59:59.000000000,14.999722222222223
2017-0045,CONDUCTOR,MOTO,MASCULINO,21.0,2017-04-14 23:59:59.000000000,17.74972222222222
2017-0047,CONDUCTOR,MOTO,MASCULINO,37.0,2017-04-23 23:59:59.000000000,17.49972222222222
2017-0049,PEATON,PEATON,MASCULINO,22.0,2017-04-27 23:59:59.000000000,5.733055555555556
2017-0050,CONDUCTOR,MOTO,MASCULINO,46.0,2017-04-28 23:59:59.000000000,12.864166666666666
2017-0050,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,16.0,2017-04-28 23:59:59.000000000,12.864166666666666
2017-0051,CONDUCTOR,AUTO,MASCULINO,33.0,2017-05-01 23:59:59.000000000,20.203333333333333
2017-0052,PEATON,PEATON,FEMENINO,47.0,2017-05-05 23:59:59.000000000,20.333055555555557
2017-0053,CONDUCTOR,MOTO,MASCULINO,28.0,2017-05-05 23:59:59.000000000,3.7269444444444444
2017-0054,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,20.0,2017-05-07 23:59:59.000000000,2.999722222222222
2017-0055,CONDUCTOR,AUTO,MASCULINO,32.0,2017-05-09 23:59:59.000000000,15.499722222222223
2017-0058,PEATON,PEATON,MASCULINO,80.0,2017-05-09 23:59:59.000000000,0.8330555555555555
2017-0059,PEATON,PEATON,FEMENINO,39.0,2017-05-11 23:59:59.000000000,14.599722222222223
2017-0060,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,30.0,2017-05-13 23:59:59.000000000,16.66638888888889
2017-0061,PEATON,PEATON,MASCULINO,47.0,2017-05-16 23:59:59.000000000,34.50805555555556
2017-0062,CONDUCTOR,MOTO,MASCULINO,35.0,2017-05-15 23:59:59.000000000,7.999722222222222
2017-0063,PEATON,PEATON,FEMENINO,79.0,2017-05-17 23:59:59.000000000,13.783055555555556
2017-0064,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,61.0,2017-05-20 23:59:59.000000000,18.99972222222222
2017-0065,CICLISTA,BICICLETA,MASCULINO,21.0,2017-05-22 23:59:59.000000000,7.999722222222222
2017-0066,PEATON,PEATON,MASCULINO,10.0,2017-05-22 23:59:59.000000000,5.833055555555555
2017-0067,CONDUCTOR,MOTO,MASCULINO,21.0,2017-05-23 23:59:59.000000000,21.24972222222222
2017-0068,CONDUCTOR,MOTO,MASCULINO,32.0,2017-05-27 23:59:59.000000000,4.166388888888889
2017-0069,CONDUCTOR,MOTO,MASCULINO,39.0,2017-05-29 23:59:59.000000000,129.74972222222223
2017-0070,PEATON,PEATON,MASCULINO,80.0,2017-05-31 23:59:59.000000000,34.66638888888889
2017-0072,CONDUCTOR,AUTO,MASCULINO,25.0,2017-06-03 23:59:59.000000000,0.6663888888888889
2017-0073,CONDUCTOR,MOTO,MASCULINO,19.0,2017-06-04 23:59:59.000000000,14.999722222222223
2017-0074,,,MASCULINO,70.0,2017-06-04 23:59:59.000000000,11.16638888888889
2017-0075,PEATON,PEATON,MASCULINO,55.0,2017-06-12 23:59:59.000000000,1.3663888888888889
2017-0076,PEATON,PEATON,FEMENINO,30.0,2017-06-13 23:59:59.000000000,9.16638888888889
2017-0077,CONDUCTOR,MOTO,FEMENINO,60.0,2017-06-18 23:59:59.000000000,24.24972222222222
2017-0079,CONDUCTOR,MOTO,MASCULINO,33.0,2017-06-19 23:59:59.000000000,7.566388888888889
2017-0080,PEATON,PEATON,FEMENINO,95.0,2017-06-22 23:59:59.000000000,13.749722222222223
2017-0082,PEATON,PEATON,MASCULINO,36.0,2017-06-25 23:59:59.000000000,1.3330555555555557
2017-0083,CONDUCTOR,MOTO,MASCULINO,37.0,2017-07-04 23:59:59.000000000,23.583055555555557
2017-0084,PEATON,PEATON,FEMENINO,73.0,2017-07-05 23:59:59.000000000,11.183055555555555
2017-0085,PEATON,PEATON,MASCULINO,84.0,2017-07-07 23:59:59.000000000,9.749722222222223
2017-0086,PEATON,PEATON,FEMENINO,30.0,2017-07-09 23:59:59.000000000,16.49972222222222
2017-0087,PEATON,PEATON,FEMENINO,73.0,2017-07-10 23:59:59.000000000,13.249722222222223
2017-0088,PEATON,PEATON,MASCULINO,43.0,2017-07-10 23:59:59.000000000,1.4997222222222222
2017-0089,,,MASCULINO,23.0,2017-08-09 14:49:30.600924499,650.7418335901386
2017-0090,PEATON,PEATON,MASCULINO,22.0,2017-07-15 23:59:59.000000000,18.74972222222222
2017-0091,CONDUCTOR,MOTO,MASCULINO,58.0,2017-07-15 23:59:59.000000000,10.999722222222223
2017-0092,PEATON,PEATON,MASCULINO,66.0,2017-07-24 23:59:59.000000000,1.7327777777777778
2017-0093,PEATON,PEATON,MASCULINO,45.0,2017-07-25 23:59:59.000000000,7.188611111111111
2017-0094,CICLISTA,BICICLETA,FEMENINO,56.0,2017-07-27 23:59:59.000000000,15.16638888888889
2017-0095,CONDUCTOR,MOTO,MASCULINO,36.0,2017-08-06 23:59:59.000000000,15.999722222222223
2017-0096,PEATON,PEATON,MASCULINO,87.0,2017-08-07 23:59:59.000000000,4.166388888888889
2017-0098,PEATON,PEATON,FEMENINO,61.0,2017-08-08 23:59:59.000000000,11.833055555555555
2017-0099,CICLISTA,BICICLETA,MASCULINO,28.0,2017-08-17 23:59:59.000000000,4.249722222222222
2017-0100,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,16.0,2017-08-21 23:59:59.000000000,16.24972222222222
2017-0101,PEATON,PEATON,FEMENINO,61.0,2017-08-23 23:59:59.000000000,13.999722222222223
2017-0102,PEATON,PEATON,MASCULINO,46.0,2017-08-24 23:59:59.000000000,22.833055555555557
2017-0104,PEATON,PEATON,FEMENINO,18.0,2017-08-25 23:59:59.000000000,14.999722222222223
2017-0106,PEATON,PEATON,FEMENINO,85.0,2017-08-31 23:59:59.000000000,4.166388888888889
2017-0107,CONDUCTOR,MOTO,MASCULINO,41.0,2017-09-01 23:59:59.000000000,12.499722222222223
2017-0108,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,17.0,2017-09-02 23:59:59.000000000,19.114166666666666
2017-0108,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,10.0,2017-09-02 23:59:59.000000000,19.114166666666666
2017-0109,CONDUCTOR,MOTO,MASCULINO,21.0,2017-09-05 23:59:59.000000000,26.99972222222222
2017-0110,PEATON,PEATON,MASCULINO,56.0,2017-09-07 23:59:59.000000000,33.749722222222225
2017-0111,PEATON,PEATON,FEMENINO,79.0,2017-09-07 23:59:59.000000000,5.606111111111111
2017-0112,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,1.0,2017-10-14 09:39:58.600924499,816.1282224790275
2017-0112,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,57.0,2017-09-13 23:59:59.000000000,86.46166666666667
2017-0113,PEATON,PEATON,FEMENINO,76.0,2017-09-11 23:59:59.000000000,17.49972222222222
2017-0114,CONDUCTOR,AUTO,MASCULINO,26.0,2017-09-15 23:59:59.000000000,21.49972222222222
2017-0115,CONDUCTOR,MOTO,MASCULINO,34.0,2017-10-19 07:29:30.600924499,708.6160002568053
2017-0116,CONDUCTOR,MOTO,MASCULINO,22.0,2017-09-20 23:59:59.000000000,1.5997222222222223
2017-0118,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,26.0,2017-09-29 23:59:59.000000000,184.9638888888889
2017-0120,CONDUCTOR,MOTO,MASCULINO,20.0,2017-10-02 23:59:59.000000000,8.073888888888888
2017-0123,PEATON,PEATON,FEMENINO,36.0,2017-10-10 23:59:59.000000000,22.905833333333334
2017-0124,CONDUCTOR,MOTO,MASCULINO,51.0,2017-10-12 23:59:59.000000000,9.325277777777778
2017-0125,CONDUCTOR,MOTO,MASCULINO,29.0,2017-10-13 23:59:59.000000000,17.794166666666666
2017-0126,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,39.0,2017-11-19 06:44:30.600924499,864.4918335901386
2017-0126,CONDUCTOR,AUTO,MASCULINO,36.0,2017-10-14 23:59:59.000000000,17.74972222222222
2017-0127,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,24.0,2017-10-16 23:59:59.000000000,16.24972222222222
2017-0128,PEATON,PEATON,FEMENINO,60.0,2017-10-17 23:59:59.000000000,11.499722222222223
2017-0129,CONDUCTOR,MOTO,MASCULINO,57.0,2017-10-26 23:59:59.000000000,4.745555555555556
2017-0130,CONDUCTOR,AUTO,MASCULINO,23.0,2017-10-27 23:59:59.000000000,18.49972222222222
2017-0132,CONDUCTOR,MOTO,MASCULINO,23.0,2017-10-30 23:59:59.000000000,9.999722222222223
2017-0134,PEATON,PEATON,FEMENINO,47.0,2017-11-06 23:59:59.000000000,5.999722222222222
2017-0135,CONDUCTOR,MOTO,MASCULINO,24.0,2017-11-07 23:59:59.000000000,11.76361111111111
2017-0136,PEATON,PEATON,MASCULINO,55.0,2017-11-16 23:59:59.000000000,15.283055555555556
